,댓글,작성자,작성시간
437,나 콘서트갔다왔다욕해도된다매,이주현,1:12
438,방송 꺼라,고갱,1:12
439,방송꺼라 방송꺼라 방송꺼라 방송꺼라 방송꺼라 방송꺼라 방송꺼라 방송 꺼라 방송 꺼라 방 송 꺼 라 ,츄파피,1:13
440,다이깨자,미역머리,1:13
441,채팅좀,김태헌,1:13
442,테이저건썰은 못참지ㅋㅋㅋ,Kenneth Lee,1:13
443,1000만원 주면 방송 끌거임?,정상수한테 테이저건 쏜 경찰,1:14
444,자라,봇타쿠리료킹,1:14
445,상수형 존잘,김형우,1:14
446,경찰한테 나대다가 맞았지,갱갱,1:14
447,필로소퍼가 전화하란다,그뤠이,1:14
448,꺼져라,사람,1:14
449,상수병신,정상수이마털3가닥,1:14
450,상수야 너라서 맞은거다,현규,1:14
451,그건잘 모르겠고,머쉬룸,1:14
452,제목 ㅅㅂ,김성태,1:15
453,야 정상수,라러러,1:15
